round,domain,gamma_dist,beta_dist
66,caltech,5.850681918673217e-05,4.653215000871569e-05
66,amazon,5.8234843891113997e-05,4.322491804487072e-05
66,webcam,5.801822408102453e-05,1.4920708963472862e-05
66,dslr,5.801845691166818e-05,7.259278390847612e-06
67,caltech,5.951462662778795e-05,4.7794565034564584e-05
67,amazon,5.923872231505811e-05,4.456850001588464e-05
67,webcam,5.9017154853791e-05,1.532167152618058e-05
67,dslr,5.9017911553382874e-05,7.435339284711517e-06
68,caltech,6.0522579587996006e-05,4.907321635982953e-05
68,amazon,6.02424843236804e-05,4.593039921019226e-05
68,webcam,6.0016114730387926e-05,1.5727517165942118e-05
68,dslr,6.001742440275848e-05,7.613337402290199e-06
69,caltech,6.153050344437361e-05,5.0367743824608624e-05
69,amazon,6.124618812464178e-05,4.731275839731097e-05
69,webcam,6.101510371081531e-05,1.6138232240336947e-05
69,dslr,6.1017111875116825e-05,7.793117219989654e-06
70,caltech,6.25383690930903e-05,5.167727795196697e-05
70,amazon,6.224997923709452e-05,4.8715439334046096e-05
70,webcam,6.201423821039498e-05,1.6554269677726552e-05
70,dslr,6.201685755513608e-05,7.974785148689989e-06
71,caltech,6.354640936478972e-05,5.300407065078616e-05
71,amazon,6.325397407636046e-05,5.01367831020616e-05
71,webcam,6.301351822912693e-05,1.6975447579170577e-05
71,dslr,6.301671965047717e-05,8.158421223924961e-06
72,caltech,6.455433322116733e-05,5.4349060519598424e-05
72,amazon,6.425788160413504e-05,5.157848499948159e-05
72,webcam,6.40128564555198e-05,1.7401785953552462e-05
72,dslr,6.40165526419878e-05,8.343935405719094e-06
73,caltech,6.556228618137538e-05,5.5711941968183964e-05
73,amazon,6.526202196255326e-05,5.3040279453853145e-05
73,webcam,6.50121655780822e-05,1.783394327503629e-05
73,dslr,6.501635652966797e-05,8.531309504178353e-06
74,caltech,6.657029734924436e-05,5.7091623602900654e-05
74,amazon,6.626616232097149e-05,5.452176264952868e-05
74,webcam,6.60114164929837e-05,1.827110827434808e-05
74,dslr,6.601627683266997e-05,8.720671758055687e-06
75,caltech,6.757842493243515e-05,5.8488076319918036e-05
75,amazon,6.727036088705063e-05,5.602121018455364e-05
75,webcam,6.701075471937656e-05,1.8712835299083963e-05
75,dslr,6.70163135509938e-05,8.911954864743166e-06
76,caltech,6.858663982711732e-05,5.99009363213554e-05
76,amazon,6.827423931099474e-05,5.7539320550858974e-05
76,webcam,6.801020936109126e-05,1.9159213479724713e-05
76,dslr,6.801637937314808e-05,9.105142453336157e-06
77,caltech,6.959517486393452e-05,6.13300217082724e-05
77,amazon,6.92782923579216e-05,5.907796003157273e-05
77,webcam,6.900972221046686e-05,1.961059751920402e-05
77,dslr,6.901644519530237e-05,9.300277270085644e-06
78,caltech,7.0603855419904e-05,6.277480133576319e-05
78,amazon,7.028228719718754e-05,6.063551700208336e-05
78,webcam,7.000932237133384e-05,2.0066760043846443e-05
78,dslr,7.001662743277848e-05,9.497269275016151e-06
79,caltech,7.161253597587347e-05,6.423587183235213e-05
79,amazon,7.128648576326668e-05,6.221139483386651e-05
79,webcam,7.100898073986173e-05,2.0527742890408263e-05
79,dslr,7.101675146259367e-05,9.696155757410452e-06
80,caltech,7.262112922035158e-05,6.571313861059025e-05
80,amazon,7.229050970636308e-05,6.380628474289551e-05
80,webcam,7.200866821222007e-05,2.099329503835179e-05
80,dslr,7.201690459623933e-05,9.897172276396304e-06
81,caltech,7.362960604950786e-05,6.720671808579937e-05
81,amazon,7.32943881303072e-05,6.542007031384856e-05
81,webcam,7.300835568457842e-05,2.146361475752201e-05
81,dslr,7.301702862605453e-05,1.0100258805323392e-05
82,caltech,7.463808287866414e-05,6.87155406922102e-05
82,amazon,7.429858669638634e-05,6.705210398649797e-05
82,webcam,7.400818867608905e-05,2.193895670643542e-05
82,dslr,7.401726907119155e-05,1.0305293471901678e-05
83,caltech,7.564661791548133e-05,7.024078513495624e-05
83,amazon,7.530275615863502e-05,6.870227662147954e-05
83,webcam,7.500796345993876e-05,2.241971014882438e-05
83,dslr,7.501759682781994e-05,1.0512248081795406e-05
84,caltech,7.66550365369767e-05,7.178298255894333e-05
84,amazon,7.630724576301873e-05,7.037082104943693e-05
84,webcam,7.600770913995802e-05,2.29059332923498e-05
84,dslr,7.601798279210925e-05,1.0721081707742997e-05
85,caltech,7.76636297814548e-05,7.33408669475466e-05
85,amazon,7.731164805591106e-05,7.205757719930261e-05
85,webcam,7.70075130276382e-05,2.3397056793328375e-05
85,dslr,7.701848517172039e-05,1.0931751603493467e-05
86,caltech,7.867204840295017e-05,7.491480209864676e-05
86,amazon,7.831613766029477e-05,7.376217399723828e-05
86,webcam,7.800740422680974e-05,2.3892831450211816e-05
86,dslr,7.801895844750106e-05,1.1144195013912395e-05
87,caltech,7.968049612827599e-05,7.650576299056411e-05
87,amazon,7.932056905701756e-05,7.548450957983732e-05
87,webcam,7.900738273747265e-05,2.4393555577262305e-05
87,dslr,7.901943172328174e-05,1.1358415576978587e-05
88,caltech,8.068874012678862e-05,7.811332034179941e-05
88,amazon,8.032485493458807e-05,7.722688314970583e-05
88,webcam,8.000736124813557e-05,2.4899087293306366e-05
88,dslr,8.001978858374059e-05,1.1574522432056256e-05
89,caltech,8.16970132291317e-05,7.973879110068083e-05
89,amazon,8.132896618917584e-05,7.898762123659253e-05
89,webcam,8.100725244730711e-05,2.540951027185656e-05
89,dslr,8.102014544419944e-05,1.179235096060438e-05
90,caltech,8.270522812381387e-05,8.138030534610152e-05
90,amazon,8.233316475525498e-05,8.076563972281292e-05
90,webcam,8.200720185413957e-05,2.5924657165887766e-05
90,dslr,8.202044409699738e-05,1.2011903891107067e-05
91,caltech,8.371329749934375e-05,8.303855429403484e-05
91,amazon,8.333753794431686e-05,8.256142609752715e-05
91,webcam,8.300732588395476e-05,2.6444706236361526e-05
91,dslr,8.302071364596486e-05,1.2233307643327862e-05
92,caltech,8.472154149785638e-05,8.471285400446504e-05
92,amazon,8.434188202954829e-05,8.437490032520145e-05
92,webcam,8.400733349844813e-05,2.6969817554345354e-05
92,dslr,8.402098319493234e-05,1.2456499462132342e-05
93,caltech,8.5729785496369e-05,8.640404848847538e-05
93,amazon,8.534599328413606e-05,8.62056840560399e-05
93,webcam,8.500722469761968e-05,2.7500027499627322e-05
93,dslr,8.502119453623891e-05,1.2681479347520508e-05
94,caltech,8.67383205331862e-05,8.811299630906433e-05
94,amazon,8.635004633106291e-05,8.805345714790747e-05
94,webcam,8.600714500062168e-05,2.8035196010023355e-05
94,dslr,8.602146408520639e-05,1.2908120879728813e-05
95,caltech,8.774685557000339e-05,8.983779844129458e-05
95,amazon,8.735407027415931e-05,8.991848153527826e-05
95,webcam,8.70069779921323e-05,2.8575122996699065e-05
95,dslr,8.702170453034341e-05,1.3136685083736666e-05
96,caltech,8.87552450876683e-05,9.157857857644558e-05
96,amazon,8.835809421725571e-05,9.180085908155888e-05
96,webcam,8.800675277598202e-05,2.9119662940502167e-05
96,dslr,8.802200318314135e-05,1.3367049177759327e-05
97,caltech,8.976351819001138e-05,9.333580965176225e-05
97,amazon,8.93622636795044e-05,9.370066982228309e-05
97,webcam,8.900649845600128e-05,2.9669310606550425e-05
97,dslr,8.902218542061746e-05,1.3599315934698097e-05
98,caltech,9.077184950001538e-05,9.510998643236235e-05
98,amazon,9.036649134941399e-05,9.561735350871459e-05
98,webcam,9.000624413602054e-05,3.02237367577618e-05
98,dslr,9.002239676192403e-05,1.3833443517796695e-05
99,caltech,9.178000618703663e-05,9.689991566119716e-05
99,amazon,9.137095184996724e-05,9.755090286489576e-05
99,webcam,9.100596071220934e-05,3.078312875004485e-05
99,dslr,9.10226081032306e-05,1.4069320059206802e-05
